﻿CODGEO;Libellé commune ou ARM;Région;Département;Population en 2012;Population en 2007;Superficie;Naissances entre 2007 et 2012;Décès entre 2007 et 2012;Ménages en 2012;Nombre de naissances domiciliées en 2013;Nombre de décès domiciliés en 2013;Logements en 2012;Résidences principales en 2012;Rés secondaires et logts occasionnels en 2012;Logements vacants en 2012;Rés princ occupées Propriétaires en 2012;Nombre de ménages fiscaux en 2012;Part des ménages fiscaux imposés  en 2012;Médiane du revenu disponible par UC en 2012;Taux de pauvreté en 2012;Emplois au LT en 2012;Emplois salariés au LT en 2012;Emplois au LT en 2007;Pop 15-64 ans en 2012;Chômeurs 15-64 ans en 2012;Actifs 15-64 ans en 2012;Total des ets actifs au 31 décembre 2012;Ets actifs agriculture au 31/12/2012;Ets actifs industrie au 31/12/2012;Ets actifs construction au 31/12/2012;Ets actifs commerce services au 31/12/2012;Ets actifs commerce réparation auto au 31/12/2012;Ets actifs adm publique au 31/12/2012;Ets actifs de 1 à 9 salariés au 31 décembre 2012;Ets actifs 10 salariés ou plus au 31 décembre 2012;coordonnees;Métropole
2B121;Galéria;94;2B;327.0;340.0;135.16;22.0;22.0;167.486230737;1.0;4.0;444.185982598;167.486230737;275.674937965;1.02481389578;122.619738605;144.0;;17050.0;;107.49522336;56.1294856822;119.654474076;193.414268511;17.944351991;126.61859669;119.0;24.0;4.0;6.0;81.0;10.0;4.0;16.0;0.0;42.4081803478, 8.70707754451;
2A154;Marignana;94;2A;102.0;107.0;55.09;3.0;11.0;53.0;0.0;3.0;232.380753138;53.0;173.531380753;5.84937238494;40.0;;;;;26.0;18.0;18.7088698733;52.0;5.0;38.0;17.0;6.0;1.0;2.0;7.0;0.0;1.0;3.0;0.0;42.2083267447, 8.72012145017;
2A266;Salice;94;2A;75.0;102.0;21.89;0.0;5.0;39.2045454545;0.0;0.0;141.346736597;39.2045454545;99.1082646726;3.03392646957;39.2045454545;;;;;12.6902065158;7.13338833396;5.09708966812;34.0909090909;0.0;19.6022727273;10.0;2.0;0.0;2.0;5.0;0.0;1.0;1.0;0.0;42.1045072661, 8.90188848529;
2A211;Petreto-Bicchisano;94;2A;561.0;566.0;39.27;19.0;42.0;264.775768535;2.0;8.0;526.365806849;264.775768535;231.906062335;29.6839759789;196.806509946;245.0;;17952.3160535;;185.736904148;144.173249745;164.843713657;288.108499096;26.3761301989;188.690777577;90.0;20.0;6.0;14.0;39.0;12.0;11.0;19.0;1.0;41.7703606471, 8.96953349207;
2B069;Casabianca;94;2B;94.0;81.0;3.68;1.0;3.0;36.1538461538;1.0;0.0;72.2788461538;36.1538461538;34.0;2.125;20.6593406593;;;;;16.6126160818;11.4477809169;24.1330534459;55.7802197802;6.1978021978;38.2197802198;11.0;1.0;1.0;1.0;5.0;2.0;3.0;1.0;1.0;42.4472062738, 9.37216855737;
2B334;Valle-d'Alesani;94;2B;129.0;143.0;9.59;3.0;9.0;65.0;1.0;2.0;119.0;65.0;51.0;3.0;52.0;;;;;25.857000993;9.87586891758;32.9254401896;71.0;3.0;36.0;26.0;11.0;4.0;3.0;5.0;3.0;3.0;4.0;0.0;42.3279231457, 9.43443873515;
2B338;Valle-d'Orezza;94;2B;44.0;46.0;3.93;0.0;4.0;18.3333333333;0.0;0.0;48.6666666667;18.3333333333;30.3333333333;0.0;17.4166666667;;;;;14.255685947;5.58333333333;17.055572412;29.3333333333;0.916666666667;14.6666666667;5.0;3.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;42.3623635376, 9.40202286355;
2A312;Santa-Maria-Siché;94;2A;470.0;373.0;10.67;17.0;28.0;200.972850679;4.0;2.0;326.998409784;200.972850679;82.2811501597;43.7444089457;125.475113122;178.0;;16644.0;;125.805009394;92.0287512009;115.748357706;277.533936652;30.8371040724;207.352941176;85.0;7.0;6.0;6.0;40.0;11.0;26.0;18.0;4.0;41.8839751228, 8.97997119242;
2B241;Poggio-Marinaccio;94;2B;30.0;25.0;2.83;1.0;0.0;15.0;0.0;1.0;41.0101010101;15.0;26.0101010101;0.0;12.0;;;;;1.06382978723;0.0;1.92307692308;18.0;2.0;10.0;9.0;6.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;42.4359731293, 9.34821605679;
2A279;Serriera;94;2A;119.0;105.0;37.0;2.0;11.0;62.5254237288;0.0;1.0;156.618138961;62.5254237288;88.2119205298;5.88079470199;41.3474576271;;;;;42.7929424797;27.4478058683;44.5677349749;69.5847457627;5.04237288136;42.3559322034;29.0;2.0;0.0;5.0;19.0;4.0;3.0;7.0;0.0;42.307049386, 8.73249922249;
